tweet_id,text,author_id,username,created_at
1892328428839342537,"Today’s class was all about supercharged note-taking with AI. Here's the note I was able to come up with using Obsidian. My learning experience has been good so far! 🤖📝

@ALX @ALXTutors @ALXFounder  
#ALX #ALXAIStarterKit #AI #ArtificialIntelligence #LearningJourney #AIForAll https://t.co/qGxvvoKFXP",1795394693166956544,blessing_gd,2025-02-19 21:40:29+00:00
1892327802357080275,"For creative minds https://t.co/9ilgTaZ72F
Play inside of your #painting with a bit of AI magic ❤️🎮 #indiedev #gamedev #switch #Nindie #madewithunity #NintendoLife #PixelArt #8bitart #discord #supermariomaker2 #Yoshi #family #artificialintelligence #puzzle #games #indiegames https://t.co/7ouynksuF8",952502046,BplusGames,2025-02-19 21:38:00+00:00
1892327596932665716,"Capture your the best life moments with AI magic!

#ArtificialIntelligence #AIModel #AIAvatar #AItools #AItechnology #AITrends https://t.co/8biZSxgjoj",1888096012952289280,ai_prokhorovich,2025-02-19 21:37:11+00:00
1892327452745011429,🌐 AI Fan Token (AI): The world's best AI Memecoin! Discover the future of crypto! 🔥 #AIFanToken #AI #ArtificialIntelligence $AI #memecoin #memecoins #aiagent #aiagents #token #tokensale https://t.co/TBFdznZxc8,1815463277356265472,aifantokens,2025-02-19 21:36:37+00:00
1892327338815225984,"If your account is Hacked, or your Account being tempered with, All you need is a Good hacker...
Inbox now for all Hacking
Services
#Hacked #icloud #snapchat
#Discord
#Roblox #missingphone #privacy
#CyberSecurity #cyberattack
#Linux
#MachineLearning
#DataScience
#DataAnalytics: https://t.co/3nzAhbZWY5",1621447081717030913,crime_inc1,2025-02-19 21:36:09+00:00
1892327243155734774,"I just published a no-nonsense guide inspired by @karpathy on Large Language Models—from pre-training to fine-tuning and scaling laws. Dive into the nuts &amp; bolts of AI!

https://t.co/J8xVCTqI8s

#AI #GenerativeAI #LLM #MachineLearning #TechNews",1704584568110473216,lounis_hamroun,2025-02-19 21:35:47+00:00
1892327135148179900,China Daily @chinadaily: Moral imperative - Opinion - https://t.co/w0133bjYIz. #industry40 #ArtificialIntelligence #aiact https://t.co/HfyYZVn1TX,837341223694249984,nordicinst,2025-02-19 21:35:21+00:00
1892326909536571721,"C++mostly used in
Rn
#ArtificialIntelligence #Al #ML
#DataScience #DataScientists
#CodeNewbies #Tech #deeplearning
#CyberSecurity #Python #Coding #javascript #rstats #100DaysOfCode #programming #Linux #loT #lloT
#BigData https://t.co/LzjiBp1IMp",1826595703746879488,ethical__hacke,2025-02-19 21:34:27+00:00
1892326661703475595,"https://t.co/dOooPYLPEc

#krypto  #kryptowaluty @elonmusk @realDonaldTrump @MINDofPepe 
#pre-sell #Innovation #artificialintelligence #ai #infuancer",1832128773350715392,MonikaWieja,2025-02-19 21:33:28+00:00
1892326496494027085,"Send Me A DM for all digital hacking
#MachineLearning #DataScience #SQL
#Cybersecurity #BigData #Analytics #Al #lloT #Python #JavaScript #ReactJS 
#CloudComputing #Serverless
#DataScientist #Linux #Programming #Coding #100DaysofCode #NodeJS #golang #NLP #GitHub #loT https://t.co/liRgNnVpJU",1826595703746879488,ethical__hacke,2025-02-19 21:32:49+00:00
